"","name","cri.rate","user.rate","date","content","year"
"102","
                                    Ys VI: The Ark of Napishtim
                                                                    ",76,7.8,4,"
                            In the latest game in the series that originated in 1987,  players assume the role of Adol Christian and embark on a rich adventure set on a deserted island. 
                            ","2015"
"103","
                                    Mortal Kombat X
                                                                    ",76,5.5,4,"
                            Mortal Kombat X combines cinematic presentation with all new gameplay to deliver the most brutal Kombat experience ever, offering a new fully-connected experience that launches players into a persistent online contest where every fight matters in a global battle for supremacy.  For the first time, Mortal Kombat X gives players the ability to choose from multiple variations of each character impacting both strategy and fighting style. Players step into an original story showcasing some of the game¡¦s most prolific characters including Scorpion and Sub-Zero, while introducing new challengers that represent the forces of good and evil and tie the tale together.
                            ","2015"
"104","
                                    Wolfenstein: The Old Blood
                                                                    ",76,7.7,5,"
                            It's 1946 and the Nazis are on the verge of winning WWII. In attmepting to turn the tide in the allies¡¦ favor, B.J. Blazkowicz has to embark on an epic, two-part mission deep within Bavaria¡K Part one of Wolfenstein: The Old Blood - Rudi Jager and the Den of Wolves - pits BJ Blazkowicz against a notorious prison warden as he breaks into Castle Wolfenstein in an attempt to steal the coordinates to General Deathshead¡¦s compound. In the second part ¡V The Dark Secrets of Helga Von Schabbs ¡V our hero's search for the coordinates leads him to the city of Wulfburg where an obsessed Nazi archaeologist is exhuming enigmatic artifacts that threaten to unleash a dark and ancient power.
                            ","2015"
"105","
                                    Luckslinger
                                                                    ",76,7,7,"
                            A hip-hop infused spaghetti western action platformer where luck affects the world around you.
                            ","2015"
"106","
                                    JumpJet Rex
                                                                    ",76,7,1,"
                            JumpJet Rex is a punishing, old school 2-Dplatformer where players take control of a Tyrannosaurus Rex with extraterrestrial jump boots to save dino-kind from extinction by a giant asteroid.
                            ","2015"
"107","
                                    Life is Strange: Episode 4 - Dark Room
                                                                    ",76,8.6,7,"
                            Darkroom follows the antics of series protagonist, Max, as she attempts to uncover the mystery behind the disappearance of Rachel Amber and get to the bottom of the bizarre happenings in Arcadia Bay. With the ¡¥End of the World¡¦ party on the horizon, time is running out for Max to become the saviour of the town.
                            ","2015"
"108","
                                    The Beginner's Guide
                                                                    ",76,7.6,10,"
                            The Beginner's Guide is a narrative video game from Davey Wreden, the creator of The Stanley Parable. It lasts about an hour and a half and has no traditional mechanics, no goals or objectives. Instead, it tells the story of a person struggling to deal with something they do not understand.
                            ","2015"
"109","
                                    Castle In The Darkness
                                                                    ",76,7.5,2,"
                            
                            ","2015"
"110","
                                    Pillars of Eternity: The White March - Part 1
                                                                    ",76,7.2,8,"
                            Pillars of Eternity: The White March - Part I is a sprawling expansion pack with hours of gameplay integrated into the main adventure. Along with the new quests and area content, the add-on includes additions of Player Party AI and Enhanced Enemy AI.
                            ","2015"
"111","
                                    Blood Bowl 2
                                                                    ",76,6.2,9,"
                            Blood Bowl 2 mashes Warhammer and American football together, in an explosive cocktail of turn-based strategy, humor and brutality, adapted from Games Workshop¡¦s famous board game. 
                            ","2015"
"112","
                                    Pathologic Classic HD
                                                                    ",76,8.7,10,"
                            Pathologic Classic HD is an extensive remaster of the original game, featuring updated graphics and effects, while addressing the most prominent critiques of the original with a completely redone English script, brand new re-recorded voice-overs, and reinstated text and dialogue.
                            ","2015"
"113","
                                    Audiosurf 2
                                                                    ",76,7.1,5,"
                            Ride your music in more ways than ever before. Audiosurf 2 is the music game for your entire music collection, plus online music streaming and Song of the Day. Hundreds of mods/skins on Workshop. Free demo available.
                            ","2015"
"114","
                                    DISTRAINT
                                                                    ",76,7.8,10,"
                            DISTRAINT is a 2D psychological horror adventure game for PC. You step into the shoes of an ambitious young man named Price. In order to forge a partnership from a famous company, Price seizes a property of an elderly woman. In that very moment he finds out the price of his humanity.
                            ","2015"
"115","
                                    Pro Evolution Soccer 2016
                                                                    ",76,4.3,9,"
                            PES 2016 comes with a host of new and improved features:  Master League ¡V completely overhauled from presentation to running of your team; New night time lighting and player models using Fox Engine; Human motion ¡V 3x more animations for players and goalkeepers; Dynamic weather ¡V Rain starts during matches; Deeper team intelligence ¡V Player and team behaviour taken to the next level.
                            ","2015"
"116","
                                    Armello
                                                                    ",75,7,9,"
                            A swashbuckling adventure that combines the strategic play of card and board games with RPG elements. Wage single and multiplayer strategy battles as you adventure across the land of Armello on your quest for the throne.
                            ","2015"
"117","
                                    Rebel Galaxy
                                                                    ",75,7.7,10,"
                            Rebel Galaxy is a swashbuckling space adventure, with action-packed combat, exploration, discovery, trade, and ¡§negotiation¡¨ with outlandish denizens at the edge of the known universe.
                            ","2015"
"118","
                                    Satellite Reign
                                                                    ",75,7.7,8,"
                            A real-time, class-based strategy game through which you control a team of four agents, each with distinct and unique abilities, collectively battling for control of a simulated, living cyberpunk city. 
                            ","2015"
"119","
                                    Grow Home
                                                                    ",75,7.4,2,"
                            Feel the freedom of unbounded climbing as you take control of BUD, a procedurally animated robot on a quest to save his planet. Create your own path through an alien world as you control and ride a giant plant on a vertical journey to the stars. 
                            ","2015"
"120","
                                    Airscape: The Fall of Gravity
                                                                    ",75,6.6,8,"
                            Airscape: The Fall of gravity is a gravity-shifting action platformer about an octopus, a dangerous world, and crazy physics. Run, jump, and dodge your way across weirdly curved planetoids and floating water formations.
                            ","2015"
"121","
                                    Gravity Ghost
                                                                    ",75,7.7,1,"
                            Gravity Ghost is a physics-based title with a twist. Run, jump, and soar around planets, using gravity to glide through the air. Explore a shattered galaxy and rescue its survivors, armed with powerups and mysterious terraforming powers.
                            ","2015"
"122","
                                    Victor Vran
                                                                    ",75,7.5,7,"
                            Victor Vran is an isometric Action-RPG with a vast selection of weapons, items, outfits, demon powers and destiny cards. Experience combat action with dozens of enemies attacking you from all sides and unleash powerful skills to finish them off.
                            ","2015"
"123","
                                    Dying Light
                                                                    ",75,7.9,1,"
                            Dying Light allows you traverse an open world mired into chaos and destruction. In this environment, you scrap for survival against an array of enemies as the infected are not the only threat: accosting other desperate human beings is typically the only way to get precious supplies.
                            ","2015"
"124","
                                    Not a Hero
                                                                    ",75,6.8,5,"
                            Professional assassin turned amateur campaign manager Steve has been tasked with cleaning up his city by an anthropomorphic rabbit and mayoral candidate from the future named BunnyLord. 
                            ","2015"
"125","
                                    Chroma Squad
                                                                    ",75,7.7,4,"
                            Chroma Squad is a tactical RPG about five stunt actors who decide to quit their jobs and start their own Power Rangers-inspired TV show. Cast actors, purchase equipment and upgrades for your studio, craft weapons and giant Mechas out of cardboard and duct tape.
                            ","2015"
"126","
                                    Ironcast
                                                                    ",75,7.3,3,"
                            Puzzlequest meets FTL in this Steampunk Victorian era roguelite. 
                            ","2015"
"127","
                                    Sorcerer King
                                                                    ",75,6.2,7,"
                            Your Kingdom is the final hope against the malevolent Sorcerer King's quest to become a god and destroy the world in this asymmetrical 4X fantasy strategy title. 
                            ","2015"
"128","
                                    Evoland 2: A Slight Case of Spacetime Continuum Disorder
                                                                    ",74,7.7,8,"
                            Evoland 2 is a very unique RPG, with its graphic style and gameplay changing as you progress through a deep storyline based on time travel.
                            ","2015"
"129","
                                    Titan Souls
                                                                    ",74,5.6,4,"
                            Between our world and the world beyond lie the Titan Souls, the spiritual source and sum of all living things. Now scattered among the fallout and guarded by the idle titans tasked with their care, a singular hero armed with a solitary arrow is once more bringing together shards of the Titan Soul in a mission for truth and power.
                            ","2015"
"130","
                                    Space Colony (Steam Edition)
                                                                    ",74,NA,4,"
                            Space Colony: Steam Edition is a remaster of the real-time base builder and strategy game from Firefly Studios, creators of the Stronghold series. In Space Colony you colonize to survive, designing intergalactic bases that keep your crew productive, happy and defended against hostile alien threats. 
                            ","2015"
"131","
                                    Just Cause 3
                                                                    ",74,5.5,11,"
                            Set in the bucolic Mediterranean island republic of Medici, a land crumbling under the brutal rule of General Di Ravello, you assume control of franchise's hero Rico Rodriguez, a man on a mission to liberate his homeland and the people of Medici...by any means necessary. With over four hundred square miles of utter freedom from sky to seabed and a massive arsenal of weaponry, gadgets and vehicles, prepare to unleash chaos in the most creative and explosive ways you can dream up.
                            ","2015"
"132","
                                    Kingdom
                                                                    ",74,7.6,10,"
                            Kingdom is a 2D sidescrolling strategy/resource management hybrid with a minimalist feel wrapped in a beautiful, modern pixel art aesthetic. 
                            ","2015"
"133","
                                    Blackguards 2
                                                                    ",74,7.4,1,"
                            Blackguards 2 ia an SRPG focusing on turn-based, strategic battles with a group of scoundrels as anti-heroes.
                            ","2015"
"134","
                                    Hotline Miami 2: Wrong Number
                                                                    ",74,7.6,3,"
                            A brutal conclusion to the gruesome saga, Hotline Miami 2: Wrong Number follows the escalating level of violence through multiple factions born from the events of the original game and driven by uncertain motivations. Step into the murderous mind of several distinct characters - each with their own motivations and methods of execution -- as storylines intersect and reality slips away into a haze of neon and carnage. Blistering combat, an unmistakable visual style, and a powerfully intense soundtrack will once again push you to the limit and questioning your own thirst for blood.
                            ","2015"
"135","
                                    Guns, Gore & Cannoli
                                                                    ",74,7.5,4,"
                            Guns, Gore & Cannoli is a Tarantino-esque homage to the exploitation/grindhouse films from the 70ies, the gangster classics, and the old school 2D arcade shooters.
                            ","2015"
"136","
                                    Assassin's Creed Syndicate
                                                                    ",74,6,11,"
                            1868 London. The Industrial Revolution. An age of invention and wealth, built on the backs of the working class. As gangster killer Jacob Frye, you recruit a gang to fight for justice on behalf of the oppressed working class. Lead the underworld to reclaim London in an adventure filled with action, intrigue and brutal combat. With Jacob as the leader, players can establish UK's fiercest gang, the only force that can challenge the elite and defeat rival gangs to bring freedom to the oppressed folks. Enemy strongholds can be infiltrated by using an arsenal to dominate London¡¦s underworld. From robbing trains to rescuing child workers, players will do everything they can to bring justice to London¡¦s lawless streets. [Ubisoft]
                            ","2015"
"137","
                                    Crookz: The Big Heist
                                                                    ",74,7.3,8,"
                            Crookz is a tactical strategy game set in the funky 1970¡¦s with a slick and groovy atmosphere. Show off the art of thieving by plotting stylish heists and robberies; utilizing espionage and quick-thinking to avoid detection. Implement a successful strategy by assembling and kitting out your team before the job and planning the best way in.
                            ","2015"
"138","
                                    Mordheim: City of the Damned
                                                                    ",74,6.9,11,"
                            Set in the Warhammer world's decimated Empire city, Mordheim: City of the Damned is a turn-based tactical game where you lead warbands into bloody and lethal skirmishes. The game blends RPG elements, fast-paced tactical combat and intricate unit customization in a time wrought by chaos and rivalry where only the strongest survive.
                            ","2015"
"139","
                                    Oceanhorn: Monster of Uncharted Seas
                                                                    ",74,7.3,3,"
                            Oceanhorn: Monster of Uncharted Seas melds provocative storytelling, 3D visuals and gameplay into one epic action-adventure experience. In the game you explore the islands of Uncharted Seas, a world chock full of dangers, puzzles and secrets. 
                            ","2015"
"140","
                                    Assassin's Creed Rogue
                                                                    ",74,7.4,3,"
                            18th century, North America. Within the chaos and violence of the French and Indian War, Shay Patrick Cormac, a courageous member of the Brotherhood of Assassin¡¦s, undergoes a dark transformation that forever shapes the future of the American colonies. After a perilous mission gone tragically wrong, Shay turns his back on the Assassins who, in response, attempt to kill him. Spurned by those he once called brothers, Shay sets out on a mission to wipe out all who turned against him and ultimately become the most feared Assassin hunter in history. 
                            ","2015"
"141","
                                    Action Henk
                                                                    ",74,7.6,5,"
                            Become a master of momentum and defy physics as you race against a band of ragged 90s action figures to once and for all prove that Action Henk is the fastest of them all.
                            ","2015"
"142","
                                    Transformers: Devastation
                                                                    ",74,7.7,10,"
                            The TRANSFORMERS are in the hands of acclaimed developer PlatinumGames, who have combined their brawler action with comic book inspired art to create a TRANSFORMERS game.
                            ","2015"
"143","
                                    Anna's Quest
                                                                    ",74,6.9,7,"
                            In a land far, far away lives a brave young girl called Anna. She lives a peaceful life in the forest with her grandfather, until a mysterious illness befalls him. And so Anna ventures forth to find a cure for him, but this world is a much more dangerous and bizarre place than she'd thought: putting her journey to a sudden end, the witch Winfriede kidnaps Anna to use her for an experiment.
                            ","2015"
"144","
                                    Resident Evil: Revelations 2
                                                                    ",74,7,3,"
                            In Revelations 2, Raid Mode begins with choosing a character, and there are several characters to match all tastes. After that, you'll customize your weapons and skills to prepare for deployment. Raid Mode has been about collecting loot such as weapons, custom parts, and currency; in Revelations 2, you'll also find treasure chests thrown into the mix. Remember, however, your ultimate goal is to find and break the goal emblem at the end of each stage. Raid Mode allows for cooperative play -- including local two-player split-screen. Grab a friend and get ready to shoot your way through this additional mode. 
                            ","2015"
"145","
                                    A Pixel Story
                                                                    ",74,5.8,3,"
                            A Pixel Story is a sinister 2D puzzle platformer that charts the evolution of video games. You have to use your Magical Teleportation Hat to explore six increasingly detailed zones on your mission to reach the core of The System to stop the evil OS and save the world.
                            ","2015"
"146","
                                    Game of Thrones: Episode Five - A Nest of Vipers
                                                                    ",74,6.7,7,"
                            In this penultimate episode, the actions of every Forrester are vital to the survival of the house. Rodrik's alliance with House Glenmore, and his defiance of the Whitehills, has drawn the ire of an even greater threat: Ramsay Snow. Far across the Narrow Sea in Essos, with Meereen now a free city, Asher is close to securing the army he desperately needs to return home, and save his family. In King's Landing, Mira's activities at Tommen's coronation have not escaped the attention of Margaery Tyrell, and Cersei has realized that the handmaiden may prove useful in her political games. Finally, beyond the Wall, Gared's unlikely allies are reluctant to help in the search for the North Grove... but this far into the frozen wilds, Crows and Free Folk have a common enemy; and winter is coming.
                            ","2015"
"147","
                                    The Red Solstice
                                                                    ",74,7.4,7,"
                            A tactical eight-player co-op survival game set in the distant future on Mars. Join the fight and lead your customized squad as you roam freely over huge maps, completing random objectives and dealing with random events. The goal is to strategize, survive and conquer by any means necessary. 
                            ","2015"
"148","
                                    Dragon Age: Inquisition - Jaws Of Hakkon
                                                                    ",74,5.7,3,"
                            Learn the fate of the last Inquisitor and the powerful dragon he pursued. Enter an overgrown wilderness chock full of Avvar, fiercely independent hunters who settled in the southern mountains of Thedas. Explore their culture to uncover what happened to the last Inquisitor and the dragon he tracked. Discover an ancient Tevinter fortress that hides a powder-keg secret. In this new adventure, playable within the Dragon Age: Inquisition campaign, you will face powerful foes, gain legendary armor and weapons, and confront an ancient god of war bent on destroying the world.
                            ","2015"
"149","
                                    Game of Thrones: Episode Two - The Lost Lords
                                                                    ",73,7.7,2,"
                            The Lost Lords is the second of six installments in the Game of Thrones: A Telltale Games Series.
                            ","2015"
"150","
                                    Resident Evil: Revelations 2 - Episode 1: Penal Colony
                                                                    ",73,7.1,2,"
                            The first episode is entitled Penal Colony. Claire Redfield, one of the only survivors of the Raccoon City incident of 1998, has since joined an NGO called Terra Save, whose mission is to assist victims of biological weaponry. During an event at Terra Save¡¦s HQ, a mysterious force abducts Claire and her co-workers and moves them to a creepy deserted island.
                            ","2015"
"151","
                                    Mad Max
                                                                    ",73,7.8,9,"
                            Mad Max places players in the role of a lone warrior who must embark on a journey to reclaim his stolen interceptor from a deadly gang of marauders.
                            ","2015"
"152","
                                    Dragon Quest Heroes: The World Tree's Woe and the Blight Below
                                                                    ",73,6.9,12,"
                            In DRAGON QUEST HEROES, players must rise up against insurmountable odds, challenging swarms of enemies and conquering gigantic monsters. DRAGON QUEST HEROES comes to the PlayStation 4 system in beautiful high-definition graphics, filled with characters and monsters designed by world-renowned artist Akira Toriyama.
                            ","2015"
"153","
                                    Minecraft: Story Mode - Episode 3: The Last Place You Look
                                                                    ",73,6.1,11,"
                            Minecraft: Story Mode is like a playable TV show based on the game, where YOU are the star, and your choices and actions decide how the story is told. You are Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your gang stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the ¡§Order of the Stone¡¨, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. 
                            ","2015"
"154","
                                    Yatagarasu: Attack on Cataclysm
                                                                    ",73,5,7,"
                            Yatagarasu Attack on Cataclysm is a novel, traditional-style 2D fighting game with eleven playable characters and which aspires to delivering solid game play and high quality production values. 
                            ","2015"
"155","
                                    The Sims 4: Get to Work
                                                                    ",73,6,3,"
                            Live the thrilling life of an emergency room Doctor and spend your days saving lives, delivering babies, and performing emergency surgery. Grab your badge and start investigating crime scenes, interrogating suspects, and solving mysterious cases as a Detective. Use your analytical mastermind to craft diabolical creations as a Scientist and decide whether you¡¦ll use your inventions for good or evil. Create a variety of retail businesses including bakeries, clothing boutiques, art galleries, bookstores, and many more. Capture the picture-perfect photo or bake and decorate a delicious treat with the new Photography and Baking skills. Create and customize aliens in Create A Sim, uncover which Sims are actually aliens in disguise, and discover the mysterious Alien dimension!
                            ","2015"
"156","
                                    Thea: The Awakening
                                                                    ",73,8.6,11,"
                            Thea: The Awakening, a turn-based, rogue-like, strategic-survival game, set in a post-apocalyptic dark fantasy world, all inspired by Slavic Myth and Folklore and infused with rich story and a unique, card based minigame.
                            ","2015"
"157","
                                    Hard West
                                                                    ",73,7.5,11,"
                            When a tragic turn of events sets one man down a path of supernatural chaos and revenge, he must brutally hunt down all those whom wronged him. Fight and survive through 8 unique story-based scenarios, and try your hand at more than 40 individually designed turn-based combat missions with your squad of 1-4 posse squad members. 
                            ","2015"
"158","
                                    0RBITALIS
                                                                    ",73,7.3,5,"
                            0RBITALIS (don't call it ""Orbitalis""!) is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity. 
                            ","2015"
"159","
                                    Massive Chalice
                                                                    ",73,6,6,"
                            Massive Chalice is a single player turn-based tactics game within a multi-generational strategy campaign where you must unite your kingdom under a powerful dynasty as an immortal King or Queen to eliminate the demonic threat, and reforge the Massive Chalice.
                            ","2015"
"160","
                                    Blues and Bullets - Episode 1: The End of Peace
                                                                    ",73,6.2,7,"
                            Eliot Ness, the former leader of the legendary Untouchables, wished only to spend the rest of his days working in his diner, not dwelling too much on the cesspit of corruption his city, Santa Esperanza, had degenerated into. But things rarely go as planned.
                            ","2015"
"161","
                                    Broken Age: Act 2
                                                                    ",73,6.4,4,"
                            Broken Age is a point-and-click adventure telling the stories of a young boy and girl leading parallel lives. The girl has been chosen by her village to be sacrificed to a terrible monster--but she decides to fight back. Meanwhile, a boy on a spaceship is living a solitary life under the care of a motherly computer, but he wants to break free to lead adventures and do good in the world. Adventures ensue.
                            ","2015"
"162","
                                    Call of Duty: Black Ops III
                                                                    ",73,3,11,"
                            In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping full control over their weapon. Maps are designed from the ground-up for the new movement system, enabling players to be successful with traditional movement, as well as with advanced tactics and maneuvers.
                            ","2015"
"163","
                                    Lemma
                                                                    ",73,7.7,5,"
                            A first-person parkour in a surreal, physics-driven voxel world. Every move can modify the environment. Surfaces pop in and out of existence at will. 
                            ","2015"
"164","
                                    Adventures of Pip
                                                                    ",72,6.8,3,"
                            Pip is an unlikely 1-pixel hero yet has the unique ability to absorb the pixels of his defeated enemies to evolve into three different forms. Players will skillfully switch between these three forms while exploring five worlds on an epic 10-hour campaign to defeat the Skeleton Queen.
                            ","2015"
"165","
                                    Anno 2205
                                                                    ",72,6,11,"
                            In Anno 2205, enlist with humankind¡¥s next step into the future with the promise to build a better tomorrow. You'll conquer Earth, establishing rich, bustling cities and grand industrial complexes, but to secure the prosperity of your people, you must travel into space. 
                            ","2015"
"166","
                                    Block N Load
                                                                    ",72,7.5,4,"
                            Build. Destroy. Attack. Defend. Tunnel. Trap. Catapult. Poison. Slice. Detonate. Sabotage. Win.
                            ","2015"
"167","
                                    Renowned Explorers: International Society
                                                                    ",72,6.4,9,"
                            
                            ","2015"
"168","
                                    Star Wars Battlefront
                                                                    ",72,3.5,11,"
                            Star Wars Battlefront lets players live out a broad array of heroic moments and intense battle fantasies of their own ¡V firing blasters, riding speeder bikes and snow speeders, commanding AT-ATs and piloting TIE fighters and the Millennium Falcon. These battles will take place on the iconic planets of the Star Wars universe, including Endor, Hoth, Tatooine and the previously unexplored planet, Sullust. Gamers can play as the memorable characters from the original trilogy such as Darth Vader and Boba Fett. Star Wars Battlefront features a wide range of modes tailored for different types of battles, from larger 40-person competitive multiplayer to crafted missions that are played solo, with a partner via split-screen offline or co-operatively online. [EA/Lucasfilm] 
                            ","2015"
"169","
                                    Convoy
                                                                    ",72,5.5,4,"
                            Convoy is a tactical roguelike-like inspired by Mad Max and FTL in which you cross a wasteland in search of parts for your broken ship. Presented in pixel art and set in a future post-apocalyptic setting, Convoy is a squad based tactical combat roguelike-like in its core. 
                            ","2015"
"170","
                                    LEGO Jurassic World
                                                                    ",72,7.2,6,"
                            Following the epic storylines of Jurassic Park, The Lost World: Jurassic Park and Jurassic Park III, as well as the highly anticipated Jurassic World, LEGO Jurassic World is the first videogame where players will be able to relive and experience all four Jurassic films.
                            ","2015"
"171","
                                    Big Pharma
                                                                    ",72,6.3,8,"
                            What if you had it in your power to rid the world of disease, to improve the lives of millions, to ease suffering and cure the sick¡K and earn a tidy profit? As the head of your own Pharmaceutical Conglomerate you have this power resting in your hands. Will you use it for good? 
                            ","2015"
"172","
                                    Guild of Dungeoneering
                                                                    ",72,5,7,"
                            Guild of Dungeoneering is a turn-based dungeon crawler with a twist: instead of controlling the hero you're tasked with building the dungeon around him. Using cards drawn from your Guild decks you lay down rooms, monsters, traps and of course loot.
                            ","2015"
"173","
                                    Way of the Samurai 4
                                                                    ",72,7.1,7,"
                            Set in post-isolationist Japan, Way of the Samurai 4 offers a unique way to experience an era that forever changed a nation. The era's cultural landscape offers countless opportunities for the ambitious, and players are thrown into this world as a ronin (masterless samurai) looking to make a name for himself. Taking their place in the overall power struggle, players will be given the choice to align themselves with one of three factions: the shogunate pro-governmental forces, the nationalistic isolationists and the growing foreign powers, and their loyalty and interaction with each of the three factions will shape the story towards one of ten possible different endings.
                            ","2015"
"174","
                                    Devil May Cry 4: Special Edition
                                                                    ",72,8.6,6,"
                            Devil May Cry 4 throws you into a gothic supernatural world, where a new protagonist clashes with a familiar hero. As the new leading man, Nero, you unleash incredible attacks and non-stop combos using a new gameplay mechanic, his powerful ""Devil Bringer"" arm. On the coast of a distant land you'll find the castle town of Fortuna. It is here that the group known as the Order of the Sword practices an elusive religion. They revere the demon warrior Sparda, who as their god fought to protect humans, and are committed to the extermination of all demons. Nero, a young knight from the Order, is tasked with finding Dante, the mysterious assassin who murdered the head of the Order of the Sword. Simultaneously, more demons begin to surface throughout the city. Nero soon comes to discover the motives behind Dante's appearance and the truth behind the intentions of the Order of the Sword. 
                            ","2015"
"175","
                                    Warhammer 40,000: Regicide
                                                                    ",72,7.7,9,"
                            Regicide is a novel take on the Warhammer universe, featuring an intense mix of strategy and cinematic gameplay. An original and brutal take on turn-based strategy, Regicide fuses characters, abilities and environments derived from the Warhammer 40,000 universe from Games Workshop, with traditional strategy and new action-heavy gameplay elements.
                            ","2015"
"176","
                                    Tormentum - Dark Sorrow
                                                                    ",72,7.9,3,"
                            Tormentum is a dark Point and Click adventure game. A nameless hero finds himself in a space between fantasy and nightmare. He does not recall his name or from whence he comes. Traversing strange lands, he struggles to discover the truth about the places around him, as well as about himself. 
                            ","2015"
"177","
                                    Homesick
                                                                    ",72,7,5,"
                            Explore an abandoned building, encountering puzzles and clues to discover what happened, as you try to escape in both your nightmares and the waking world. Be immersed in the 3D atmosphere in this puzzle exploration mystery game.
                            ","2015"
"178","
                                    The Sims 4: Get Together
                                                                    ",72,7.3,12,"
                            The Sims 4 Get Together introduces Windenburg, a European-inspired World with a mix of vibrant, modern architecture and classic buildings and styles. From the charming countryside, to the bustling town square and luxurious island, Windenburg is filled with new things for your Sims to see and do. But you¡¦re not going to be exploring these new sights alone. As the name suggests, Get Together is all about your Sim having fun with their friends, whether they¡¦re leading their own exclusive Clubs or exploring Windenburg. Your Sims will be able to join different Clubs, each with their own interests, personalities, and styles. They have defined behaviors that dictate how they tend to act, including how they treat other Sims, and what they do or don't like to do. There will be a variety of Clubs waiting for your Sims when you first load up the expansion pack, but you¡¦re also able to create and customize your own. You can set their requirements, decide what behaviors they have, choose their preferred hang outs, and even give them distinct rewards. [TheSims.com]
                            ","2015"
"179","
                                    Zombie Army Trilogy
                                                                    ",72,7.2,3,"
                            The cult horror shooter series comes to an apocalyptic end with an epic new 3rd chapter, a new horde mode, and remastered editions of the best-selling Nazi Zombie Army 1 & 2.
                            ","2015"
"180","
                                    Dyscourse
                                                                    ",71,4.8,3,"
                            Dyscourse is an interactive choose-your-own adventure where you journey through a stylized world of choice and consequence.
                            ","2015"
"181","
                                    The Escapists
                                                                    ",71,6.9,2,"
                            The Escapists gives players the chance to experience a light-hearted insight into everyday prison life with the main objective being that of escaping.
                            ","2015"
"182","
                                    Dreamfall Chapters Book Two: Rebels
                                                                    ",71,7.8,3,"
                            The world of Arcadia exists in parallel and in balance with own own. It is a world of magic and chaos, a counterweight to Stark, the world of science and order. The Balance between the twin worlds is watched over by the Guardian, who channels the energies of Chaos and Order between Arcadia and Stark.
                            ","2015"
"183","
                                    The Fall of the Dungeon Guardians
                                                                    ",71,7,11,"
                            Enter a massive dungeon, full of danger, mystery and secrets. Fight your way through hordes of enemies and powerful creatures. Solve puzzles, avoid deadly traps, uncover hidden passages, and keep your bearing through mazes & hallways. 
                            ","2015"
"184","
                                    Battlefield Hardline
                                                                    ",71,4,3,"
                            Run your crew as detective Nick Mendoza in an episodic crime drama single player campaign or as cops and criminals in rapid Battlefield multi-player. You will be on one side of the thin blue line or the other. Assume control using new tactics to gather intelligence, obtain warrants and takedown with non-lethal force to effectuate the arrests. Take the cash in a new battlefield playground. New maps and gadgets alter the way you play the game. Utilize grappling hooks and zip-lines to scale city buildings and fly across the city with the cheddar. No matter the strategy, teamwork is key to winning the turf war. Sate your need for speed in  new action-packed modes. Hop in exotic muscle cars, sleek crotch rockets or even give your whole crew a lift in transports or armored trucks.
                            ","2015"
"185","
                                    Act of Aggression
                                                                    ",71,7.1,9,"
                            In what is shaping up to be their most ambitious project since Act of War, Eugen Systems will deliver a real-time strategy experience set in the 2020's in a darkly realistic future where 3 major factions fight for their interests. In a world where international crisis and financial order is set in a seemingly unending loop, the shadowy organization known as ""The Cartel"" attempt to complete a secret agenda with high-tech technology, stolen prototypes and stealthy operatives. Against this looming threat stands the Chimere, a UNO funded, classified military organization specialized in fast strikes, which attempts to maintain global peace and order. Finally, somewhere between the two stands the US Army, worn out by two decades of being kept on a war footing with too few replacements, but still fielding a great deal of battle-hardened veterans.
                            ","2015"
